gene,essential,comment
PA14_30150,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_17220,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_61360,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_34700,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_66000,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_17130,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_25900,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_57360,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_70240,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_44000,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_49470,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_25430,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_57290,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_60890,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_34580,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_61710,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_65960,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_30330,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_51720,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_25450,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_17280,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_64110,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_30110,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_57390,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_41360,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_67600,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_66060,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_57330,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_58190,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_57410,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_15310,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_66190,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_14930,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_23560,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_16530,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_12280,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_60390,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00010,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_73260,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_66920,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_17290,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_41380,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_51900,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_44030,yes,"Manoil and Ausubel Overlap, 2005, LB"
